Year,Area
1775.2548918715243, 0.8584198274137691
1814.254999173485, 2.5949218415006214
1825.0092366687672, 6.190970975026957
1834.31958335353, 9.132755725636855
1844.1637303630162, 13.516181674233849
1855.109781505865, 25.502452823388168
1865.7308071386046, 28.770866399116215
1875.0163790849836, 28.30407801308273
1885.0878819628717, 27.9677174387231
1895.554732492898, 28.024318187185372
1904.8531682457456, 29.32736585287057
1914.8457731106257, 36.136010827969486
1919.3149453402154, 39.016384885089764
1924.1365858670474, 36.39026675930286
1928.8154857858046, 32.12552340777792
1934.2969919407528, 30.285439786821485
1939.2818598785539, 32.116574672843186
1952.807342437014, 38.987748933298604
1960.049189041611, 45.33989656753897
1970.128791353202, 46.11787721092816
1977.3263292910738, 46.373922889248476
