Year,Population
1740.1773445143256, 7.741160027954379
1765.0122012578615, 19.428651292803806
1775.0637316561845, 30.851712089449165
1786.0285115303982, 43.58127183787667
1795.8087351502445, 59.91949685534712
1806.2553319357094, 70.03046820405433
1815.4877987421382, 98.81984626135682
1824.4036338225017, 88.9537386443057
1835.121537386443, 94.14954577218816
1845.0657023060796, 160.28232005590633
1851.0460237596085, 179.58518518518645
1861.1309853249475, 307.3062194269763
1870.5431446540879, 311.1972047519238
1881.0485674353597, 357.9991614255788
1890.7024598183086, 372.0447239692545
1900.7790635918936, 370.69126484975743
1910.987784765898, 368.682040531099
1920.6500349406008, 378.46876310272717
1930.9548707197762, 394.149545772189
1943.0727044025155, 419.32299091544553
1951.541719077568, 503.80768693221756
